Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src
cadbury-dairymilk-classic,Cadbury DairyMilk Classic,180g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,180,shopify,100,deny,manual,2540,TRUE,TRUE,https://assets.indolj.io/upload/1771874046-CadburyDairyMilkClassic180g.jfif?q=10
galaxy-ripple-chocolate-bar,Galaxy Ripple Chocolate Bar,30g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,30,shopify,100,deny,manual,590,TRUE,TRUE,https://assets.indolj.io/upload/1732372399-Galaxy Ripple Chocolate Bar.jpg?q=10
cadbury-dairy-milk-sticky-toffee-pouch,Cadbury Dairy Milk Sticky Toffee Pouch,136g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,136,shopify,100,deny,manual,3400,TRUE,TRUE,https://assets.indolj.io/upload/1771314192-Cadbury Dairy Milk Sticky Toffee Pouch 136g.jfif?q=10
galaxy-smooth-dark-chocolate-bar,Galaxy Smooth Dark Chocolate Bar,40g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,40,shopify,100,deny,manual,670,TRUE,TRUE,https://assets.indolj.io/upload/1732602647-Galaxy Bar.jpg?q=10
cadbury-dairy-milk-pistachio-crunch-pouch,Cadbury Dairy Milk Pistachio Crunch Pouch,145g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,145,shopify,100,deny,manual,3400,TRUE,TRUE,https://assets.indolj.io/upload/1771314212-Cadbury Dairy Milk Pistachio Crunch Pouch 145g.jfif?q=10
snickers-chocolate-bar,Snickers Chocolate Bar,50g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,50,shopify,100,deny,manual,470,TRUE,TRUE,https://assets.indolj.io/upload/1732372696-Snickers Chocolate Bar.jpg?q=10
cadbury-dairy-milk-nutty-cream-pouch,Cadbury Dairy Milk Nutty Cream Pouch,136g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,136,shopify,100,deny,manual,3400,TRUE,TRUE,https://assets.indolj.io/upload/1771314242-Cadbury Dairy Milk Nutty Cream Pouch 136g.jfif?q=10
dairy-milk-roasted-almond,Dairy Milk Roasted Almond,135G,Candyshop,General,"General, Imported",TRUE,Title,Default Title,135,shopify,100,deny,manual,1290,TRUE,TRUE,https://assets.indolj.io/upload/1761914352-Dairy Milk RoastedAlmond 165g.jpg?q=10
kitkat-mini-dark-pouch-12p,Kitkat Mini Dark Pouch 12P,162g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,162,shopify,100,deny,manual,3400,TRUE,TRUE,https://assets.indolj.io/upload/1771314287-Kitkat Mini Dark Pouch 12P 162g.jfif?q=10
galaxy-milk,Galaxy Milk,42gm,Candyshop,General,"General, Imported",TRUE,Title,Default Title,42,shopify,100,deny,manual,670,TRUE,TRUE,https://assets.indolj.io/upload/1763034220-Galaxy White 38g.jfif?q=10
bounty-chocolate-bar,Bounty Chocolate Bar,57g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,57,shopify,100,deny,manual,470,TRUE,TRUE,https://assets.indolj.io/upload/1732372738-Bounty Chocolate Bar.jpg?q=10
daim-pouch,Daim Pouch,200g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,200,shopify,100,deny,manual,2450,TRUE,TRUE,https://assets.indolj.io/upload/1771314354-Daim Pouch 200g.jfif?q=10
galaxy-flutes,Galaxy Flutes,22g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,22,shopify,100,deny,manual,290,TRUE,TRUE,https://assets.indolj.io/upload/1761914452-Galaxy Flutes 22g.jpg?q=10
candyland-magic-minis-pouch,CandyLand Magic Minis Pouch,332g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,332,shopify,100,deny,manual,900,TRUE,TRUE,https://assets.indolj.io/upload/1771314402-CandyLand Magic Minis Pouch 332g.jfif?q=10
snickers-butter-scotch-bar,Snickers Butter Scotch Bar,22g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,22,shopify,100,deny,manual,300,TRUE,TRUE,https://assets.indolj.io/upload/1761914502-Snickers ButterScotch Bar 22g.jpg?q=10
twix-chocolate-bar,Twix Chocolate Bar,50g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,50,shopify,100,deny,manual,410,TRUE,TRUE,https://assets.indolj.io/upload/1732372784-Twix Chocolate Bar.jpg?q=10
bournville-clasic-orange,Bournville Clasic Orange,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,1750,TRUE,TRUE,https://assets.indolj.io/upload/1771314445-Bournville Clasic Orange 100g.jfif?q=10
reeses-white,Reeses White,39g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,39,shopify,100,deny,manual,690,TRUE,TRUE,https://assets.indolj.io/upload/1761914840-Resses White 39g.jpg?q=10
toblerone-crunchy-almonds,Toblerone Crunchy Almonds,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,1200,TRUE,TRUE,https://assets.indolj.io/upload/1771314517-Toblerone Crunchy Almonds 100g.jfif?q=10
kitkat-dark-4finger,Kitkat Dark 4Finger,36g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,36,shopify,100,deny,manual,630,TRUE,TRUE,https://assets.indolj.io/upload/1771314578-Kitkat Dark 4Finger 36g.jfif?q=10
reeses-big-cup,Reeses Big Cup,79g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,79,shopify,100,deny,manual,1190,TRUE,TRUE,https://assets.indolj.io/upload/1761914933-Reeses Big Cup 79g.jpg?q=10
mars-chocolate-bar,Mars Chocolate Bar,51g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,51,shopify,100,deny,manual,490,TRUE,TRUE,https://assets.indolj.io/upload/1732372836-Mars Chocolate Bar.jpg?q=10
kitkat-4finger-white,Kitkat 4Finger White,41g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,41,shopify,100,deny,manual,590,TRUE,TRUE,https://assets.indolj.io/upload/1771314637-Kitkat 4Finger White 41g.jfif?q=10
torras-zero-sugar-white-strawberries-chocolate,Torras Zero sugar White & Strawberries chocolate,75g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,75,shopify,100,deny,manual,1240,TRUE,TRUE,https://assets.indolj.io/upload/1761915204-Torras Zero suger White Strawberries chocolate 75g.jpg?q=10
torras-zero-sugar-milk-almond-chocolate,Torras Zero sugar Milk & Almond chocolate,"75g
",Candyshop,General,"General, Imported",TRUE,Title,Default Title,75,shopify,100,deny,manual,1240,TRUE,TRUE,https://assets.indolj.io/upload/1761915597-Torras Zero suger Milk Almond chocolate 75g.jpg?q=10
smarties-tube-3pack,Smarties Tube 3Pack,120g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,120,shopify,100,deny,manual,1200,TRUE,TRUE,https://assets.indolj.io/upload/1771314690-Smarties Tube 3Pack 120g.jfif?q=10
lindt-lindor-white-bar,Lindt Lindor White Bar,100g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,100,shopify,100,deny,manual,2250,TRUE,TRUE,https://assets.indolj.io/upload/1750127963-Lindt Lindor White Bar 100g.webp?q=10
kitkat-caramel-bar,KitKat Caramel Bar,41g,Candyshop,General,"General, Imported",TRUE,Title,Default Title,41,shopify,100,deny,manual,590,TRUE,TRUE,https://assets.indolj.io/upload/1771314744-KitKat Caramel Bar 41g.jfif?q=10
