title,price,weight,image_url
Ritter Sport Dark Whole Almonds ,1390,100g,https://assets.indolj.io/upload/1761918006-Ritter Sport Dark Whole Almonds 100g.jpg?q=10
Lindt Swiss Classic White Chocolate Bar ,2250,100g,https://assets.indolj.io/upload/1732514087-Lindt Swiss Classic White Chocolate Bar.jpg?q=10
Bounty minis Pouch 9P,2990,,https://assets.indolj.io/upload/1776948816-BountyminisPouch9P.jfif?q=10
Godiva Salted Caramel Choco Bar 32gm,1050,,https://assets.indolj.io/upload/1781664645-GodivaSaltedCaramelChocoBar32gm.jfif?q=10
Ritter Sport Raisin Hazel ,1390,100g,https://assets.indolj.io/upload/1761918086-Ritter Sport RaisinHazel 100g.jpg?q=10
Lindt Swiss Classic Crunchy Milk Chocolate Bar ,2250,100g,https://assets.indolj.io/upload/1732514149-Lindt Swiss Classic Crunchy Milk Chocolate Bar.png?q=10
Snickers minis Pouch 11P,2990,,https://assets.indolj.io/upload/1776949277-SnickersminisPouch11P.jfif?q=10
Ritter Sport Marzipan ,1390,100g,https://assets.indolj.io/upload/1761918134-Ritter Sport Marzipan 100g.jpg?q=10
Mars minis Pouch 11P,2990,,https://assets.indolj.io/upload/1776948992-MarsminisPouch11P.jfif?q=10
Ritter Sport Edel Voll ,1390,100g,https://assets.indolj.io/upload/1761918186-Ritter Sport Edel Voll 100g.jpg?q=10
Lindt Swiss Classic Double Milk Chocolate Bar,2250,100g,https://assets.indolj.io/upload/1732514526-Lindt Swiss Classic Double Milk ChocolateA.jpg?q=10
Godiva Milk Choco Bar 32gm,1050,,https://assets.indolj.io/upload/1781664712-GodivaMilkChocoBar32gm.jfif?q=10
Ritter Sport Nugat ,1390,100g,https://assets.indolj.io/upload/1761918295-Ritter Sport Nugat 100g.jpg?q=10
Lindt Swiss Classic Almond Amandes Chocolate Bar ,2250,100g,https://assets.indolj.io/upload/1732514673-Lindt Swiss Classic Almond Amandes Chocolate Bar.jpg?q=10
Lindt Excellence Intense Orange Dark Chocolate Bar ,2500,100g,https://assets.indolj.io/upload/1732514805-Lindt Excellence.jpeg?q=10
Ritter Sport Weisse Voll Nuss ,1390,100gm,https://assets.indolj.io/upload/1761918357-Ritter Sport Weisse Voll Nuss 100gm.jpg?q=10
Lindt Excellence Sea Salt Dark Noir Chocolate Bar ,2500,100g,https://assets.indolj.io/upload/1732514874-Lindt Excellence Sea Salt Dark Noir Chocolate Bar.jpg?q=10
Lindt Excellence 70% Cocoa Intense Dark Chocolate Bar ,2500,100g,https://assets.indolj.io/upload/1732515651-Lindt Excellence A.jpg?q=10
Godiva Milk Choco 90g,2490,,https://assets.indolj.io/upload/1781664762-GodivaMilkChoco90g.jfif?q=10
Ritter Sport WhiteCrisp,1390,100g,https://assets.indolj.io/upload/1761918407-Ritter Sport WhiteCrisp 100g.jpg?q=10
Maltesers Teasers Bar ,1850,100g,https://assets.indolj.io/upload/1761918460-Maltesers Teasers Bar 100g.jpg?q=10
Lindt Excellence Mixed Seeds Dark Noir Chocolate Bar ,2500,100g,https://assets.indolj.io/upload/1732515609-Lindt Excellence Mixed Seeds Dark Noir.jpg?q=10
Rolo Pouch 103g,2050,,https://assets.indolj.io/upload/1781664839-RoloPouch103g.jfif?q=10
Lindt Excellence Mango & Almond Dark Noir Chocolate Bar ,2500,100g,https://assets.indolj.io/upload/1732515546-Lindt Excellence MangoA.jpg?q=10
Hersheys Milk Chocolate With Almond king size ,1190,73g,https://assets.indolj.io/upload/1761918517-Hersheys Milk Chocolate With Alomnd king size 73g.jpg?q=10
Lindt Excellence Madagascar 70% Cacao Dark Noir Chocolate Bar ,2500,100g,https://assets.indolj.io/upload/1732790393-lindt madagascar.webp?q=10
Lindt Excellence 90% Cacao Noir Prodigieux Chocolate Bar ,2500,100g,https://assets.indolj.io/upload/1732602579-KAA.jpg?q=10
Hersheys Milk Chocolate king size,1190,73g,https://assets.indolj.io/upload/1761918732-Hersheys-Milk-Chocolate-king-size-73g.jpg?q=10
Lindt Excellence Cranberry & Nuts Dark Noir Chocolate Bar ,2500,100g,https://assets.indolj.io/upload/1732515307-Lindt Excellence Cranberry.png?q=10
Lindt Excellence Chili Piment Rouge Dark Noir Chocolate Bar ,2500,100g,https://assets.indolj.io/upload/1732515247-Lindt Excellence Chili Piment Rouge Dark Noir Chocolate Bar.jpg?q=10
After Eight,2950,200g,https://assets.indolj.io/upload/1761918825-After-Eight-200g.jpg?q=10
Lindt Lindor Double Chocolate Bar ,2250,100g,https://assets.indolj.io/upload/1732515188-Lindt Lindor Double Chocolate Bar.png?q=10
Hersheys Dark Chocolate Bar ,640,40g,https://assets.indolj.io/upload/1752371779-Hersheys Dark Chocolate Bar 40g.webp?q=10
Piccadeli GoNuts Caramel ,170,26g,https://assets.indolj.io/upload/1761918856-Piccadeli GoNuts Caramel 26g.jpg?q=10
Lindt Lindor Extra Dark Noir 70% Cacao Chocolate Bar ,2250,100g,https://assets.indolj.io/upload/1732515120-Lindt Lindor Extra Dark Noir.jpg?q=10
Lindt Lindor Caramel & Sea Salt Chocolate Bar ,2250,100g,https://assets.indolj.io/upload/1732515054-Lindt Lindor.jpg?q=10
Hersheys Milk Chocolate Bar ,640,40g,https://assets.indolj.io/upload/1752371800-Hersheys Milk Chocolate Bar 40g.webp?q=10
Raffaello T3,750,,https://assets.indolj.io/upload/1732372592-Raffaello T3 White Chocolate Balls.png?q=10
Godiva Creamy Chocolate Bar ,690,35g,https://assets.indolj.io/upload/1732372642-Godiva Creamy Chocolate Bar.jpg?q=10
